Date,CO,NO1,NO2,O3,SO2
2013-01-09 13:00:00,27.8686523,117.213867,1.1,16.7568359,10.5669355
2013-01-09 14:00:00,25.0463867,121.827477,0.9,11.3325605,15.0410156
2013-01-09 15:00:00,15.7165527,130.96875,1.3,17.5620117,4.74497461
2013-01-09 16:00:00,18.703207,129.341797,0.5,14.3514404,3.76522827
2013-01-09 17:00:00,29.0353184,126.352867,1.3,15.9977217,5.261271
2013-01-09 18:00:00,49.5719414,100.896484,2.9,23.0441895,3.99938965
2013-01-09 19:00:00,87.7333984,84.163414,2.5,21.9015293,13.0107422
2013-01-09 20:00:00,94.0683594,70.2890625,2.7,21.2697754,13.3859863
2013-01-09 21:00:00,97.9482422,71.789711,2.6,23.067709,14.2033691
2013-01-09 22:00:00,110.097008,60.4926758,2.5,58.1572266,14.3091631
2013-01-09 23:00:00,62.3950195,80.7864609,1.8,18.3829746,6.73760986
2013-01-10 00:00:00,65.1536484,79.6751328,1.2,18.192749,7.3090415
2013-01-10 01:00:00,36.0634766,86.2070313,0.8,14.614502,5.2880249
2013-01-10 02:00:00,39.8421211,76.7460938,0.7,18.9820957,7.9921875
2013-01-10 03:00:00,82.6542969,56.15625,0.7,37.1542969,12.4509277
2013-01-10 04:00:00,35.987957,65.8766251,0.6,14.0478516,6.44152832
2013-01-10 05:00:00,49.3020821,53.9555664,1.3,23.5959473,9.50016308
2013-01-10 06:00:00,46.2758789,62.1614571,1.3,15.5458174,9.79789257
2013-01-10 07:00:00,63.8339844,44.644043,1.5,32.3950195,7.13822412
2013-01-10 08:00:00,50.5473633,64.4088516,2.5,23.0587559,7.3772788
2013-01-10 09:00:00,58.0693359,70.3261719,2.5,28.2036133,9.88000488
2013-01-10 10:00:00,38.1616211,92.796875,1.5,20.6930332,7.36651611
2013-01-10 11:00:00,38.7757149,103.806641,2.2,17.8269043,8.94710255
2013-01-10 12:00:00,20.0576172,121.537758,1.1,9.64390087,8.38928223
2013-01-10 13:00:00,12.4307861,130.754562,0.8,9.8839922,4.73885107
2013-01-10 14:00:00,15.104167,129.578125,0.9,18.2385254,16.0858555
2013-01-10 15:00:00,31.3496094,114.359375,0.6,21.5068359,4.02893066
2013-01-10 16:00:00,14.8995771,125.522461,0.6,24.8220215,2.70599365
2013-01-10 17:00:00,40.6860352,118.811852,0.5,18.3544102,4.54855347
2013-01-10 18:00:00,42.0823555,110.905602,1.3,17.1777344,2.6450603
2013-01-10 19:00:00,76.3294296,84.3847656,4.8,21.5371094,8.20214844
2013-01-10 20:00:00,71.9936523,89.3261719,3.0,20.2612305,7.77376318
2013-01-10 21:00:00,92.5768204,76.7167969,2.6,21.2089844,11.5076904
2013-01-10 22:00:00,82.5097656,68.8932266,2.7,21.0930996,13.7370605
2013-01-10 23:00:00,72.0032578,63.1806641,2.0,22.2893066,10.3256426
2013-01-11 00:00:00,77.9462891,66.3675156,0.8,28.2928066,10.0646973
2013-01-11 01:00:00,64.8782578,70.0654297,0.5,21.7436523,7.26810694
2013-01-11 02:00:00,80.8188477,80.3489609,0.6,19.8538418,9.89001465
2013-01-11 03:00:00,71.2181015,67.9205704,0.6,22.6611328,12.2212725
2013-01-11 04:00:00,79.2825546,55.8691406,0.7,45.4140625,5.14892578
2013-01-11 05:00:00,79.015625,63.0146484,2.1,53.9261055,4.95149755
2013-01-11 06:00:00,82.8255234,63.6567383,1.4,59.1313477,6.5491333
2013-01-11 07:00:00,59.6191406,64.8619766,0.9,35.2739258,7.18985987
2013-01-11 08:00:00,72.0039063,56.1713867,2.2,37.0258789,7.87833643
2013-01-11 09:00:00,47.5126953,69.5514297,1.5,21.7477207,4.47629786
2013-01-11 10:00:00,40.5133476,104.658852,1.4,21.9921875,8.15999317
2013-01-11 11:00:00,29.4353027,110.811195,1.3,16.855957,10.7355957
2013-01-11 16:00:00,21.4486084,129.223953,0.8,17.7937832,7.69543457
2013-01-11 17:00:00,21.4486084,129.223953,0.7,17.7937832,7.69543457
2013-01-11 18:00:00,21.4486084,129.223953,1.6,17.7937832,7.69543457
2013-01-11 19:00:00,21.4486084,129.223953,2.8,17.7937832,7.69543457
2013-01-11 20:00:00,21.4486084,129.223953,3.7,17.7937832,7.69543457
2013-01-11 21:00:00,21.4486084,129.223953,3.6,17.7937832,7.69543457
2013-01-11 22:00:00,21.4486084,129.223953,3.4,17.7937832,7.69543457
2013-01-11 23:00:00,21.4486084,129.223953,2.7,17.7937832,7.69543457
2013-01-12 11:00:00,21.4486084,129.223953,1.5,17.7937832,7.69543457
2013-01-12 12:00:00,21.4486084,129.223953,1.6,17.7937832,7.69543457
2013-01-12 13:00:00,21.4486084,129.223953,1.5,17.7937832,7.69543457
2013-01-14 10:00:00,21.4486084,129.223953,2.3,17.7937832,7.69543457
2013-01-14 11:00:00,21.4486084,129.223953,3.4,17.7937832,7.69543457
2013-01-14 12:00:00,21.4486084,129.223953,2.7,17.7937832,7.69543457
2013-01-14 13:00:00,21.4486084,129.223953,2.4,17.7937832,7.69543457
2013-01-14 14:00:00,21.4486084,129.223953,1.8,17.7937832,7.69543457
2013-01-14 15:00:00,21.4486084,129.223953,1.3,17.7937832,7.69543457
2013-01-14 16:00:00,21.4486084,129.223953,0.7,17.7937832,7.69543457
2013-01-14 17:00:00,21.4486084,129.223953,0.6,17.7937832,7.69543457
2013-01-14 18:00:00,21.4486084,129.223953,2.2,17.7937832,7.69543457
2013-01-14 19:00:00,21.4486084,129.223953,3.8,17.7937832,7.69543457
2013-01-14 20:00:00,21.4486084,129.223953,3.3,17.7937832,7.69543457
2013-01-14 21:00:00,21.4486084,129.223953,5.0,17.7937832,7.69543457
2013-01-14 22:00:00,21.4486084,129.223953,7.1,17.7937832,7.69543457
2013-01-14 23:00:00,21.4486084,129.223953,6.9,17.7937832,7.69543457
2013-01-15 00:00:00,21.4486084,129.223953,5.0,17.7937832,7.69543457
2013-01-15 01:00:00,21.4486084,129.223953,5.6,17.7937832,7.69543457
2013-01-15 02:00:00,21.4486084,129.223953,5.4,17.7937832,7.69543457
2013-01-15 03:00:00,21.4486084,129.223953,4.2,17.7937832,7.69543457
2013-01-15 04:00:00,21.4486084,129.223953,2.5,17.7937832,7.69543457
2013-01-15 05:00:00,21.4486084,129.223953,2.4,17.7937832,7.69543457
2013-01-15 06:00:00,21.4486084,129.223953,3.8,17.7937832,7.69543457
2013-01-15 07:00:00,21.4486084,129.223953,3.2,17.7937832,7.69543457
2013-01-15 08:00:00,21.4486084,129.223953,4.6,17.7937832,7.69543457
2013-01-15 09:00:00,21.4486084,129.223953,2.5,17.7937832,7.69543457
2013-01-15 10:00:00,21.4486084,129.223953,1.5,17.7937832,7.69543457
2013-01-15 11:00:00,21.4486084,129.223953,1.3,17.7937832,7.69543457
2013-01-15 12:00:00,21.4486084,129.223953,1.3,17.7937832,7.69543457
2013-01-15 13:00:00,21.4486084,129.223953,1.0,17.7937832,7.69543457
2013-01-15 14:00:00,22.9453125,152.753906,0.9,18.6760254,19.6767578
2013-01-15 16:00:00,41.0307617,129.636063,0.4,16.9248867,14.6992188
2013-01-15 17:00:00,91.5592422,81.4482422,0.7,17.6799316,13.8554688
2013-01-15 18:00:00,148.984375,44.8050117,2.0,30.6835938,7.64068604
2013-01-15 19:00:00,145.498047,36.5172539,2.4,84.4830704,12.0643721
2013-01-15 20:00:00,134.756516,52.953125,2.4,128.248047,8.13861084
2013-01-15 21:00:00,126.20443,62.703125,3.3,139.623047,12.5078125
2013-01-15 22:00:00,117.490234,62.5400391,4.2,201.945313,5.28637695
2013-01-15 23:00:00,122.375,56.5465508,4.4,187.903641,4.3626709
2013-01-16 00:00:00,125.991211,63.1852226,4.2,151.957031,5.43945313
2013-01-16 01:00:00,129.611328,69.1083984,2.4,151.957031,9.11914063
2013-01-16 02:00:00,108.163086,60.6523438,2.6,151.957031,8.08660889
2013-01-16 03:00:00,96.1123047,65.4830704,2.1,151.957031,13.2312012
2013-01-16 04:00:00,89.0325546,52.2770195,1.9,151.957031,21.8834629
2013-01-16 05:00:00,80.15625,56.9775391,2.5,151.957031,15.1015625
2013-01-16 06:00:00,71.9970703,48.2563477,2.3,151.957031,6.77276611
2013-01-16 07:00:00,73.5917969,44.1096992,1.5,151.957031,10.7862139
2013-01-16 08:00:00,85.0891953,60.8095703,1.8,151.957031,9.41520214
2013-01-16 09:00:00,69.640625,72.6582031,1.9,151.957031,15.6207275
2013-01-16 10:00:00,49.0458984,104.5,2.1,16.5722656,5.35665894
2013-01-16 11:00:00,26.7805176,134.992188,2.3,10.1669922,11.4710693
2013-01-16 12:00:00,20.7373047,146.476563,1.6,5.65197754,8.72442627
2013-01-16 13:00:00,18.7180176,153.091141,1.2,15.2024736,4.48730469
2013-01-16 14:00:00,17.7885742,155.282547,1.2,12.0233965,4.64396143
