,NO1,Date
0,30.7,2015-01-01 01:00:00
1,,2015-01-01 02:00:00
2,,2015-01-01 03:00:00
3,,2015-01-01 04:00:00
4,,2015-01-01 05:00:00
5,,2015-01-01 06:00:00
6,,2015-01-01 07:00:00
7,,2015-01-01 08:00:00
8,,2015-01-01 09:00:00
9,,2015-01-01 10:00:00
10,,2015-01-01 11:00:00
11,9.7,2015-01-01 12:00:00
12,0,2015-01-01 13:00:00
13,10.5,2015-01-01 14:00:00
14,2.2,2015-01-01 15:00:00
15,2.3,2015-01-01 16:00:00
16,71.6,2015-01-01 17:00:00
17,35.1,2015-01-01 18:00:00
18,32.9,2015-01-01 19:00:00
19,0,2015-01-01 20:00:00
20,63.8,2015-01-01 21:00:00
21,17.4,2015-01-01 22:00:00
22,186.6,2015-01-01 23:00:00
23,145.0,2015-01-02 00:00:00
24,,2015-01-02 01:00:00
25,,2015-01-02 02:00:00
26,,2015-01-02 03:00:00
27,20.3,2015-01-02 04:00:00
28,6.6,2015-01-02 05:00:00
29,7.3,2015-01-02 06:00:00
30,5.1,2015-01-02 07:00:00
31,10.4,2015-01-02 08:00:00
32,14.8,2015-01-02 09:00:00
33,5.0,2015-01-02 10:00:00
34,22.9,2015-01-02 11:00:00
35,10.5,2015-01-02 12:00:00
36,11.3,2015-01-02 13:00:00
37,26.7,2015-01-02 14:00:00
38,38.9,2015-01-02 15:00:00
39,0,2015-01-02 16:00:00
40,22.5,2015-01-02 17:00:00
41,12.7,2015-01-02 18:00:00
42,,2015-01-02 19:00:00
43,,2015-01-02 20:00:00
44,,2015-01-02 21:00:00
45,7.3,2015-01-02 22:00:00
46,11.1,2015-01-02 23:00:00
47,11.2,2015-01-03 00:00:00
48,5.6,2015-01-03 01:00:00
49,12.6,2015-01-03 02:00:00
50,23.7,2015-01-03 03:00:00
51,2.4,2015-01-03 04:00:00
52,6.7,2015-01-03 05:00:00
53,5.7,2015-01-03 06:00:00
54,8.4,2015-01-03 07:00:00
55,4.2,2015-01-03 08:00:00
56,0,2015-01-03 09:00:00
57,13.3,2015-01-03 10:00:00
58,8.7,2015-01-03 11:00:00
59,5.0,2015-01-03 12:00:00
60,0,2015-01-03 13:00:00
61,11.5,2015-01-03 14:00:00
62,7.7,2015-01-03 15:00:00
63,,2015-01-03 16:00:00
64,13.4,2015-01-03 17:00:00
65,0,2015-01-03 18:00:00
66,17.2,2015-01-03 19:00:00
67,4.8,2015-01-03 20:00:00
68,28.8,2015-01-03 21:00:00
69,15.5,2015-01-03 22:00:00
70,1.9,2015-01-03 23:00:00
71,13.1,2015-01-04 00:00:00
72,2.7,2015-01-04 01:00:00
73,13.7,2015-01-04 02:00:00
74,4.0,2015-01-04 03:00:00
75,8.1,2015-01-04 04:00:00
76,9.3,2015-01-04 05:00:00
77,6.6,2015-01-04 06:00:00
78,0,2015-01-04 07:00:00
79,,2015-01-04 08:00:00
80,,2015-01-04 09:00:00
81,15.9,2015-01-04 10:00:00
82,12.6,2015-01-04 11:00:00
83,5.0,2015-01-04 12:00:00
84,7.4,2015-01-04 13:00:00
85,3.6,2015-01-04 14:00:00
86,1.7,2015-01-04 15:00:00
87,11.5,2015-01-04 16:00:00
88,6.0,2015-01-04 17:00:00
89,0,2015-01-04 18:00:00
90,12.3,2015-01-04 19:00:00
91,8.6,2015-01-04 20:00:00
92,5.6,2015-01-04 21:00:00
93,6.6,2015-01-04 22:00:00
94,7.6,2015-01-04 23:00:00
95,7.4,2015-01-05 00:00:00
96,10.0,2015-01-05 01:00:00
97,5.1,2015-01-05 02:00:00
98,3.7,2015-01-05 03:00:00
99,9.2,2015-01-05 04:00:00
100,8.7,2015-01-05 05:00:00
101,4.8,2015-01-05 06:00:00
102,19.0,2015-01-05 07:00:00
103,7.2,2015-01-05 08:00:00
104,11.5,2015-01-05 09:00:00
105,20.6,2015-01-05 10:00:00
106,12.4,2015-01-05 11:00:00
107,10.7,2015-01-05 12:00:00
108,9.8,2015-01-05 13:00:00
109,8.2,2015-01-05 14:00:00
110,4.1,2015-01-05 15:00:00
111,13.6,2015-01-05 16:00:00
112,5.7,2015-01-05 17:00:00
113,9.7,2015-01-05 18:00:00
114,3.7,2015-01-05 19:00:00
115,13.9,2015-01-05 20:00:00
116,14.9,2015-01-05 21:00:00
117,8.7,2015-01-05 22:00:00
118,11.7,2015-01-05 23:00:00
119,6.6,2015-01-06 00:00:00
120,16.6,2015-01-06 01:00:00
121,8.5,2015-01-06 02:00:00
122,5.6,2015-01-06 03:00:00
123,6.3,2015-01-06 04:00:00
124,5.3,2015-01-06 05:00:00
125,8.7,2015-01-06 06:00:00
126,7.5,2015-01-06 07:00:00
127,2.8,2015-01-06 08:00:00
128,7.2,2015-01-06 09:00:00
129,15.1,2015-01-06 10:00:00
130,1.3,2015-01-06 11:00:00
131,,2015-01-06 12:00:00
132,7.4,2015-01-06 13:00:00
133,10.5,2015-01-06 14:00:00
134,2.5,2015-01-06 15:00:00
135,4.2,2015-01-06 16:00:00
136,3.6,2015-01-06 17:00:00
137,13.0,2015-01-06 18:00:00
138,10.7,2015-01-06 19:00:00
139,0,2015-01-06 20:00:00
140,30.4,2015-01-06 21:00:00
141,0,2015-01-06 22:00:00
142,2.8,2015-01-06 23:00:00
143,10.3,2015-01-07 00:00:00
0,8.2,2015-01-07 01:00:00
1,0,2015-01-07 02:00:00
2,10.3,2015-01-07 03:00:00
3,14.1,2015-01-07 04:00:00
4,15.7,2015-01-07 05:00:00
5,23.0,2015-01-07 06:00:00
6,19.1,2015-01-07 07:00:00
7,9.0,2015-01-07 08:00:00
8,6.8,2015-01-07 09:00:00
9,4.9,2015-01-07 10:00:00
10,7.1,2015-01-07 11:00:00
11,8.6,2015-01-07 12:00:00
12,11.1,2015-01-07 13:00:00
13,12.2,2015-01-07 14:00:00
14,,2015-01-07 15:00:00
15,,2015-01-07 16:00:00
16,13.9,2015-01-07 17:00:00
17,8.0,2015-01-07 18:00:00
18,9.3,2015-01-07 19:00:00
19,17.2,2015-01-07 20:00:00
20,13.9,2015-01-07 21:00:00
21,15.6,2015-01-07 22:00:00
22,21.9,2015-01-07 23:00:00
23,11.5,2015-01-08 00:00:00
24,21.8,2015-01-08 01:00:00
25,10.1,2015-01-08 02:00:00
26,5.8,2015-01-08 03:00:00
27,8.2,2015-01-08 04:00:00
28,8.4,2015-01-08 05:00:00
29,4.9,2015-01-08 06:00:00
30,2.5,2015-01-08 07:00:00
31,7.6,2015-01-08 08:00:00
32,8.6,2015-01-08 09:00:00
33,0,2015-01-08 10:00:00
34,8.5,2015-01-08 11:00:00
35,7.5,2015-01-08 12:00:00
36,10.8,2015-01-08 13:00:00
37,13.3,2015-01-08 14:00:00
38,7.0,2015-01-08 15:00:00
39,0,2015-01-08 16:00:00
40,31.0,2015-01-08 17:00:00
41,17.5,2015-01-08 18:00:00
42,11.1,2015-01-08 19:00:00
43,16.0,2015-01-08 20:00:00
44,9.7,2015-01-08 21:00:00
45,2.7,2015-01-08 22:00:00
46,5.6,2015-01-08 23:00:00
47,8.0,2015-01-09 00:00:00
48,10.6,2015-01-09 01:00:00
49,8.6,2015-01-09 02:00:00
50,10.0,2015-01-09 03:00:00
51,11.7,2015-01-09 04:00:00
52,5.3,2015-01-09 05:00:00
53,8.3,2015-01-09 06:00:00
54,9.7,2015-01-09 07:00:00
55,8.3,2015-01-09 08:00:00
56,4.3,2015-01-09 09:00:00
57,10.1,2015-01-09 10:00:00
58,47.9,2015-01-09 11:00:00
59,7.7,2015-01-09 12:00:00
60,7.7,2015-01-09 13:00:00
61,6.4,2015-01-09 14:00:00
62,13.0,2015-01-09 15:00:00
63,4.0,2015-01-09 16:00:00
64,0,2015-01-09 17:00:00
65,16.8,2015-01-09 18:00:00
66,18.8,2015-01-09 19:00:00
67,25.9,2015-01-09 20:00:00
68,16.8,2015-01-09 21:00:00
69,20.2,2015-01-09 22:00:00
70,15.6,2015-01-09 23:00:00
71,11.1,2015-01-10 00:00:00
72,6.6,2015-01-10 01:00:00
73,8.3,2015-01-10 02:00:00
74,9.1,2015-01-10 03:00:00
75,9.2,2015-01-10 04:00:00
76,7.2,2015-01-10 05:00:00
77,6.4,2015-01-10 06:00:00
78,0.4,2015-01-10 07:00:00
79,7.7,2015-01-10 08:00:00
80,14.1,2015-01-10 09:00:00
81,11.0,2015-01-10 10:00:00
82,16.2,2015-01-10 11:00:00
83,0.3,2015-01-10 12:00:00
84,6.8,2015-01-10 13:00:00
85,7.0,2015-01-10 14:00:00
86,6.4,2015-01-10 15:00:00
87,4.9,2015-01-10 16:00:00
88,2.3,2015-01-10 17:00:00
89,12.0,2015-01-10 18:00:00
90,0,2015-01-10 19:00:00
91,50.2,2015-01-10 20:00:00
92,0,2015-01-10 21:00:00
93,16.3,2015-01-10 22:00:00
94,10.5,2015-01-10 23:00:00
95,12.2,2015-01-11 00:00:00
96,46.1,2015-01-11 01:00:00
97,27.3,2015-01-11 02:00:00
98,32.6,2015-01-11 03:00:00
99,32.4,2015-01-11 04:00:00
100,28.8,2015-01-11 05:00:00
101,23.0,2015-01-11 06:00:00
102,9.0,2015-01-11 07:00:00
103,10.3,2015-01-11 08:00:00
104,8.0,2015-01-11 09:00:00
105,22.4,2015-01-11 10:00:00
106,11.4,2015-01-11 11:00:00
107,1.3,2015-01-11 12:00:00
108,15.2,2015-01-11 13:00:00
109,10.4,2015-01-11 14:00:00
110,9.1,2015-01-11 15:00:00
111,0.0,2015-01-11 16:00:00
112,9.6,2015-01-11 17:00:00
113,58.6,2015-01-11 18:00:00
114,23.2,2015-01-11 19:00:00
115,20.5,2015-01-11 20:00:00
116,39.3,2015-01-11 21:00:00
117,52.5,2015-01-11 22:00:00
118,48.9,2015-01-11 23:00:00
119,45.1,2015-01-12 00:00:00
120,25.1,2015-01-12 01:00:00
121,20.5,2015-01-12 02:00:00
122,19.5,2015-01-12 03:00:00
123,29.2,2015-01-12 04:00:00
124,31.7,2015-01-12 05:00:00
125,93.1,2015-01-12 06:00:00
126,25.8,2015-01-12 07:00:00
127,13.6,2015-01-12 08:00:00
128,39.2,2015-01-12 09:00:00
129,16.3,2015-01-12 10:00:00
130,44.3,2015-01-12 11:00:00
131,38.3,2015-01-12 12:00:00
132,27.7,2015-01-12 13:00:00
133,9.4,2015-01-12 14:00:00
134,26.0,2015-01-12 15:00:00
135,35.1,2015-01-12 16:00:00
136,39.7,2015-01-12 17:00:00
137,52.9,2015-01-12 18:00:00
138,59.5,2015-01-12 19:00:00
139,49.6,2015-01-12 20:00:00
140,23.6,2015-01-12 21:00:00
141,27.8,2015-01-12 22:00:00
142,36.9,2015-01-12 23:00:00
143,38.5,2015-01-13 00:00:00
0,33.1,2015-01-13 01:00:00
1,28.3,2015-01-13 02:00:00
2,18.3,2015-01-13 03:00:00
3,23.7,2015-01-13 04:00:00
4,20.7,2015-01-13 05:00:00
5,49.3,2015-01-13 06:00:00
