,CO,Date
0,0.90731508,2015-01-01 01:00:00
1,0.90023601,2015-01-01 02:00:00
2,0.89236653,2015-01-01 03:00:00
3,0.87400818,2015-01-01 04:00:00
4,0.9397766,2015-01-01 05:00:00
5,0.92297363,2015-01-01 06:00:00
6,0.91965741,2015-01-01 07:00:00
7,0.92409462,2015-01-01 08:00:00
8,0.93569237,2015-01-01 09:00:00
9,0.93810219,2015-01-01 10:00:00
10,0.9651764,2015-01-01 11:00:00
11,0.96765339,2015-01-01 12:00:00
12,0.94121605,2015-01-01 13:00:00
13,0.92803138,2015-01-01 14:00:00
14,0.95669252,2015-01-01 15:00:00
15,0.99148864,2015-01-01 16:00:00
16,0.95018715,2015-01-01 17:00:00
17,0.91094154,2015-01-01 18:00:00
18,0.90791422,2015-01-01 19:00:00
19,0.92484641,2015-01-01 20:00:00
20,0.90940553,2015-01-01 21:00:00
21,0.91112363,2015-01-01 22:00:00
22,0.93740135,2015-01-01 23:00:00
23,0.92316592,2015-01-02 00:00:00
24,0.90384829,2015-01-02 01:00:00
25,0.92811179,2015-01-02 02:00:00
26,0.91116738,2015-01-02 03:00:00
27,0.89567059,2015-01-02 04:00:00
28,0.9091512,2015-01-02 05:00:00
29,0.90760499,2015-01-02 06:00:00
30,0.90826619,2015-01-02 07:00:00
31,0.90231121,2015-01-02 08:00:00
32,0.90690613,2015-01-02 09:00:00
33,0.91112262,2015-01-02 10:00:00
34,0.93357342,2015-01-02 11:00:00
35,0.96060485,2015-01-02 12:00:00
36,0.95649618,2015-01-02 13:00:00
37,0.95169675,2015-01-02 14:00:00
38,0.96727598,2015-01-02 15:00:00
39,0.97471821,2015-01-02 16:00:00
40,0.92982078,2015-01-02 17:00:00
41,0.94010216,2015-01-02 18:00:00
42,0.94471437,2015-01-02 19:00:00
43,0.9555552,2015-01-02 20:00:00
44,0.96195275,2015-01-02 21:00:00
45,0.9549306,2015-01-02 22:00:00
46,0.95845032,2015-01-02 23:00:00
47,0.95477498,2015-01-03 00:00:00
48,0.96268922,2015-01-03 01:00:00
49,0.95854795,2015-01-03 02:00:00
50,0.97468972,2015-01-03 03:00:00
51,0.97042441,2015-01-03 04:00:00
52,0.93711954,2015-01-03 05:00:00
53,0.93773806,2015-01-03 06:00:00
54,0.9487254,2015-01-03 07:00:00
55,0.94400126,2015-01-03 08:00:00
56,0.95741373,2015-01-03 09:00:00
57,0.93854576,2015-01-03 10:00:00
58,0.95622152,2015-01-03 11:00:00
59,0.97075808,2015-01-03 12:00:00
60,0.95681256,2015-01-03 13:00:00
61,0.96352947,2015-01-03 14:00:00
62,0.96252745,2015-01-03 15:00:00
63,0.95646262,2015-01-03 16:00:00
64,0.90510762,2015-01-03 17:00:00
65,0.91529948,2015-01-03 18:00:00
66,0.92979634,2015-01-03 19:00:00
67,0.94555563,2015-01-03 20:00:00
68,0.91610312,2015-01-03 21:00:00
