,NO1,Date
0,8.7,2015-01-01 01:00:00
1,10.7,2015-01-01 02:00:00
2,9.5,2015-01-01 03:00:00
3,15.0,2015-01-01 04:00:00
4,17.0,2015-01-01 05:00:00
5,16.5,2015-01-01 06:00:00
6,16.8,2015-01-01 07:00:00
7,12.3,2015-01-01 08:00:00
8,2.7,2015-01-01 09:00:00
9,16.1,2015-01-01 10:00:00
10,19.6,2015-01-01 11:00:00
11,13.9,2015-01-01 12:00:00
12,12.7,2015-01-01 13:00:00
13,15.7,2015-01-01 14:00:00
14,12.5,2015-01-01 15:00:00
15,15.1,2015-01-01 16:00:00
16,15.8,2015-01-01 17:00:00
17,15.0,2015-01-01 18:00:00
18,17.6,2015-01-01 19:00:00
19,11.4,2015-01-01 20:00:00
20,15.5,2015-01-01 21:00:00
21,15.4,2015-01-01 22:00:00
22,28.9,2015-01-01 23:00:00
23,15.0,2015-01-02 00:00:00
24,6.2,2015-01-02 01:00:00
25,7.0,2015-01-02 02:00:00
26,21.2,2015-01-02 03:00:00
27,6.0,2015-01-02 04:00:00
28,6.7,2015-01-02 05:00:00
29,13.1,2015-01-02 06:00:00
30,6.8,2015-01-02 07:00:00
31,10.2,2015-01-02 08:00:00
32,16.8,2015-01-02 09:00:00
33,17.8,2015-01-02 10:00:00
34,13.3,2015-01-02 11:00:00
35,13.0,2015-01-02 12:00:00
36,16.8,2015-01-02 13:00:00
37,15.1,2015-01-02 14:00:00
38,15.0,2015-01-02 15:00:00
39,18.0,2015-01-02 16:00:00
40,,2015-01-02 17:00:00
41,13.3,2015-01-02 18:00:00
42,17.8,2015-01-02 19:00:00
43,13.1,2015-01-02 20:00:00
44,,2015-01-02 21:00:00
45,10.5,2015-01-02 22:00:00
46,14.1,2015-01-02 23:00:00
47,,2015-01-03 00:00:00
48,,2015-01-03 01:00:00
49,,2015-01-03 02:00:00
50,,2015-01-03 03:00:00
51,,2015-01-03 04:00:00
52,,2015-01-03 05:00:00
53,,2015-01-03 06:00:00
54,,2015-01-03 07:00:00
55,,2015-01-03 08:00:00
56,16.5,2015-01-03 09:00:00
57,13.9,2015-01-03 10:00:00
58,15.9,2015-01-03 11:00:00
59,,2015-01-03 12:00:00
60,13.0,2015-01-03 13:00:00
61,,2015-01-03 14:00:00
62,,2015-01-03 15:00:00
63,,2015-01-03 16:00:00
64,10.7,2015-01-03 17:00:00
65,9.6,2015-01-03 18:00:00
66,16.9,2015-01-03 19:00:00
67,15.4,2015-01-03 20:00:00
68,12.1,2015-01-03 21:00:00
69,16.8,2015-01-03 22:00:00
70,17.3,2015-01-03 23:00:00
71,15.0,2015-01-04 00:00:00
72,15.3,2015-01-04 01:00:00
73,10.3,2015-01-04 02:00:00
74,13.4,2015-01-04 03:00:00
75,12.5,2015-01-04 04:00:00
76,15.3,2015-01-04 05:00:00
77,12.2,2015-01-04 06:00:00
78,13.1,2015-01-04 07:00:00
79,,2015-01-04 08:00:00
80,13.8,2015-01-04 09:00:00
81,13.0,2015-01-04 10:00:00
82,,2015-01-04 11:00:00
83,,2015-01-04 12:00:00
84,,2015-01-04 13:00:00
85,,2015-01-04 14:00:00
86,,2015-01-04 15:00:00
87,14.5,2015-01-04 16:00:00
88,14.1,2015-01-04 17:00:00
89,12.1,2015-01-04 18:00:00
90,15.1,2015-01-04 19:00:00
91,11.7,2015-01-04 20:00:00
92,15.0,2015-01-04 21:00:00
93,12.7,2015-01-04 22:00:00
94,12.6,2015-01-04 23:00:00
95,13.0,2015-01-05 00:00:00
96,14.1,2015-01-05 01:00:00
97,13.9,2015-01-05 02:00:00
98,15.8,2015-01-05 03:00:00
99,14.1,2015-01-05 04:00:00
100,13.0,2015-01-05 05:00:00
101,14.9,2015-01-05 06:00:00
