,O3,Date
28,6.6,2015-01-08 05:00:00
29,8.1,2015-01-08 06:00:00
30,8.1,2015-01-08 07:00:00
31,7.3,2015-01-08 08:00:00
32,6.6,2015-01-08 09:00:00
33,6.4,2015-01-08 10:00:00
34,6.6,2015-01-08 11:00:00
35,11.8,2015-01-08 12:00:00
36,23.4,2015-01-08 13:00:00
37,26.6,2015-01-08 14:00:00
38,32.1,2015-01-08 15:00:00
39,18.4,2015-01-08 16:00:00
40,5.6,2015-01-08 17:00:00
41,3.0,2015-01-08 18:00:00
42,3.9,2015-01-08 19:00:00
43,4.7,2015-01-08 20:00:00
44,6.6,2015-01-08 21:00:00
45,5.8,2015-01-08 22:00:00
46,6.2,2015-01-08 23:00:00
47,4.9,2015-01-09 00:00:00
48,5.4,2015-01-09 01:00:00
49,1.5,2015-01-09 02:00:00
50,1.3,2015-01-09 03:00:00
51,6.4,2015-01-09 04:00:00
52,7.7,2015-01-09 05:00:00
53,8.1,2015-01-09 06:00:00
54,8.8,2015-01-09 07:00:00
55,7.7,2015-01-09 08:00:00
56,10.3,2015-01-09 09:00:00
57,6.0,2015-01-09 10:00:00
58,13.3,2015-01-09 11:00:00
59,30.0,2015-01-09 12:00:00
60,47.1,2015-01-09 13:00:00
61,51.0,2015-01-09 14:00:00
62,68.1,2015-01-09 15:00:00
63,30.4,2015-01-09 16:00:00
64,6.9,2015-01-09 17:00:00
65,0.6,2015-01-09 18:00:00
66,0.9,2015-01-09 19:00:00
67,5.4,2015-01-09 20:00:00
68,4.9,2015-01-09 21:00:00
69,3.9,2015-01-09 22:00:00
70,4.9,2015-01-09 23:00:00
71,8.4,2015-01-10 00:00:00
72,10.7,2015-01-10 01:00:00
73,3.4,2015-01-10 02:00:00
74,4.7,2015-01-10 03:00:00
75,2.1,2015-01-10 04:00:00
76,5.8,2015-01-10 05:00:00
77,8.4,2015-01-10 06:00:00
78,15.4,2015-01-10 07:00:00
79,7.1,2015-01-10 08:00:00
80,12.9,2015-01-10 09:00:00
81,13.9,2015-01-10 10:00:00
82,29.1,2015-01-10 11:00:00
83,43.3,2015-01-10 12:00:00
84,60.9,2015-01-10 13:00:00
85,74.8,2015-01-10 14:00:00
86,86.4,2015-01-10 15:00:00
87,76.9,2015-01-10 16:00:00
88,48.0,2015-01-10 17:00:00
89,2.4,2015-01-10 18:00:00
90,,2015-01-10 19:00:00
91,2.8,2015-01-10 20:00:00
92,7.1,2015-01-10 21:00:00
93,7.3,2015-01-10 22:00:00
94,7.5,2015-01-10 23:00:00
95,3.4,2015-01-11 00:00:00
96,2.8,2015-01-11 01:00:00
97,3.2,2015-01-11 02:00:00
98,12.4,2015-01-11 03:00:00
99,10.3,2015-01-11 04:00:00
