,NO2,Date
27,42.9,2015-01-08 04:00:00
28,39.2,2015-01-08 05:00:00
29,54.5,2015-01-08 06:00:00
30,56.4,2015-01-08 07:00:00
31,61.4,2015-01-08 08:00:00
32,51.7,2015-01-08 09:00:00
33,62.9,2015-01-08 10:00:00
34,83.7,2015-01-08 11:00:00
35,89.2,2015-01-08 12:00:00
36,85.2,2015-01-08 13:00:00
37,98.4,2015-01-08 14:00:00
38,95.3,2015-01-08 15:00:00
39,100.7,2015-01-08 16:00:00
40,81.1,2015-01-08 17:00:00
41,93.0,2015-01-08 18:00:00
42,89.3,2015-01-08 19:00:00
43,74.8,2015-01-08 20:00:00
44,78.1,2015-01-08 21:00:00
45,79.1,2015-01-08 22:00:00
46,72.5,2015-01-08 23:00:00
47,78.6,2015-01-09 00:00:00
48,72.7,2015-01-09 01:00:00
49,58.6,2015-01-09 02:00:00
50,41.5,2015-01-09 03:00:00
51,20.4,2015-01-09 04:00:00
52,25.4,2015-01-09 05:00:00
53,29.1,2015-01-09 06:00:00
54,39.0,2015-01-09 07:00:00
55,56.5,2015-01-09 08:00:00
56,52.5,2015-01-09 09:00:00
57,56.8,2015-01-09 10:00:00
58,77.2,2015-01-09 11:00:00
59,107.4,2015-01-09 12:00:00
60,98.9,2015-01-09 13:00:00
61,106.3,2015-01-09 14:00:00
62,127.8,2015-01-09 15:00:00
63,106.3,2015-01-09 16:00:00
64,128.1,2015-01-09 17:00:00
65,107.6,2015-01-09 18:00:00
66,108.4,2015-01-09 19:00:00
67,123.9,2015-01-09 20:00:00
68,135.2,2015-01-09 21:00:00
69,131.5,2015-01-09 22:00:00
70,87.6,2015-01-09 23:00:00
71,67.1,2015-01-10 00:00:00
72,61.4,2015-01-10 01:00:00
73,64.8,2015-01-10 02:00:00
74,71.1,2015-01-10 03:00:00
75,57.8,2015-01-10 04:00:00
76,44.2,2015-01-10 05:00:00
77,27.6,2015-01-10 06:00:00
78,49.3,2015-01-10 07:00:00
79,54.2,2015-01-10 08:00:00
80,48.0,2015-01-10 09:00:00
81,73.6,2015-01-10 10:00:00
82,78.4,2015-01-10 11:00:00
83,66.9,2015-01-10 12:00:00
84,61.7,2015-01-10 13:00:00
85,77.0,2015-01-10 14:00:00
86,54.1,2015-01-10 15:00:00
87,88.7,2015-01-10 16:00:00
88,109.3,2015-01-10 17:00:00
89,138.9,2015-01-10 18:00:00
90,131.0,2015-01-10 19:00:00
91,152.4,2015-01-10 20:00:00
92,134.4,2015-01-10 21:00:00
93,127.8,2015-01-10 22:00:00
94,115.4,2015-01-10 23:00:00
95,92.1,2015-01-11 00:00:00
96,83.2,2015-01-11 01:00:00
97,86.5,2015-01-11 02:00:00
98,75.1,2015-01-11 03:00:00
99,59.1,2015-01-11 04:00:00
100,53.8,2015-01-11 05:00:00
101,71.3,2015-01-11 06:00:00
102,52.1,2015-01-11 07:00:00
103,54.5,2015-01-11 08:00:00
104,57.2,2015-01-11 09:00:00
105,61.7,2015-01-11 10:00:00
106,50.1,2015-01-11 11:00:00
107,51.9,2015-01-11 12:00:00
108,50.8,2015-01-11 13:00:00
109,46.1,2015-01-11 14:00:00
110,44.8,2015-01-11 15:00:00
111,90.9,2015-01-11 16:00:00
112,115.0,2015-01-11 17:00:00
113,128.9,2015-01-11 18:00:00
114,136.0,2015-01-11 19:00:00
115,120.9,2015-01-11 20:00:00
116,104.3,2015-01-11 21:00:00
117,134.0,2015-01-11 22:00:00
118,126.2,2015-01-11 23:00:00
119,101.1,2015-01-12 00:00:00
120,94.0,2015-01-12 01:00:00
121,77.9,2015-01-12 02:00:00
122,72.8,2015-01-12 03:00:00
123,57.0,2015-01-12 04:00:00
124,43.0,2015-01-12 05:00:00
125,36.9,2015-01-12 06:00:00
126,65.1,2015-01-12 07:00:00
127,86.5,2015-01-12 08:00:00
128,89.7,2015-01-12 09:00:00
129,96.9,2015-01-12 10:00:00
130,127.4,2015-01-12 11:00:00
131,154.8,2015-01-12 12:00:00
132,177.2,2015-01-12 13:00:00
133,155.4,2015-01-12 14:00:00
134,190.5,2015-01-12 15:00:00
135,171.7,2015-01-12 16:00:00
136,169.5,2015-01-12 17:00:00
137,160.4,2015-01-12 18:00:00
138,164.6,2015-01-12 19:00:00
139,121.2,2015-01-12 20:00:00
140,101.4,2015-01-12 21:00:00
141,95.1,2015-01-12 22:00:00
142,96.3,2015-01-12 23:00:00
143,90.2,2015-01-13 00:00:00
0,89.9,2015-01-13 01:00:00
1,86.0,2015-01-13 02:00:00
2,74.9,2015-01-13 03:00:00
3,56.3,2015-01-13 04:00:00
4,53.7,2015-01-13 05:00:00
5,66.8,2015-01-13 06:00:00
6,50.5,2015-01-13 07:00:00
7,93.7,2015-01-13 08:00:00
8,141.1,2015-01-13 09:00:00
9,185.9,2015-01-13 10:00:00
10,183.4,2015-01-13 11:00:00
11,113.8,2015-01-13 12:00:00
12,90.3,2015-01-13 13:00:00
13,76.3,2015-01-13 14:00:00
14,73.7,2015-01-13 15:00:00
15,173.8,2015-01-13 16:00:00
16,,2015-01-13 17:00:00
