,NO2,Date
0,,2015-01-01 01:00:00
1,,2015-01-01 02:00:00
2,,2015-01-01 03:00:00
3,,2015-01-01 04:00:00
4,,2015-01-01 05:00:00
5,,2015-01-01 06:00:00
6,,2015-01-01 07:00:00
7,,2015-01-01 08:00:00
8,,2015-01-01 09:00:00
9,189.7,2015-01-01 10:00:00
10,273.9,2015-01-01 11:00:00
11,243.9,2015-01-01 12:00:00
12,253.6,2015-01-01 13:00:00
13,153.6,2015-01-01 14:00:00
14,189.0,2015-01-01 15:00:00
15,164.4,2015-01-01 16:00:00
16,,2015-01-01 17:00:00
17,,2015-01-01 18:00:00
18,,2015-01-01 19:00:00
19,174.0,2015-01-01 20:00:00
20,274.2,2015-01-01 21:00:00
21,402.3,2015-01-01 22:00:00
22,248.8,2015-01-01 23:00:00
23,210.5,2015-01-02 00:00:00
24,,2015-01-02 01:00:00
25,,2015-01-02 02:00:00
26,,2015-01-02 03:00:00
27,,2015-01-02 04:00:00
28,,2015-01-02 05:00:00
29,,2015-01-02 06:00:00
30,,2015-01-02 07:00:00
31,,2015-01-02 08:00:00
32,81.8,2015-01-02 09:00:00
33,89.4,2015-01-02 10:00:00
34,70.8,2015-01-02 11:00:00
35,69.3,2015-01-02 12:00:00
36,81.5,2015-01-02 13:00:00
37,40.5,2015-01-02 14:00:00
38,,2015-01-02 15:00:00
39,81.1,2015-01-02 16:00:00
40,60.6,2015-01-02 17:00:00
41,61.4,2015-01-02 18:00:00
42,95.2,2015-01-02 19:00:00
43,86.0,2015-01-02 20:00:00
44,,2015-01-02 21:00:00
45,,2015-01-02 22:00:00
46,,2015-01-02 23:00:00
47,,2015-01-03 00:00:00
48,,2015-01-03 01:00:00
49,,2015-01-03 02:00:00
50,,2015-01-03 03:00:00
51,,2015-01-03 04:00:00
52,,2015-01-03 05:00:00
53,,2015-01-03 06:00:00
54,,2015-01-03 07:00:00
55,,2015-01-03 08:00:00
56,,2015-01-03 09:00:00
57,90.7,2015-01-03 10:00:00
58,67.1,2015-01-03 11:00:00
59,90.4,2015-01-03 12:00:00
60,128.4,2015-01-03 13:00:00
61,128.6,2015-01-03 14:00:00
62,125.7,2015-01-03 15:00:00
63,86.7,2015-01-03 16:00:00
64,129.1,2015-01-03 17:00:00
65,55.3,2015-01-03 18:00:00
66,112.3,2015-01-03 19:00:00
67,,2015-01-03 20:00:00
68,92.4,2015-01-03 21:00:00
69,86.6,2015-01-03 22:00:00
70,91.0,2015-01-03 23:00:00
71,82.0,2015-01-04 00:00:00
72,74.7,2015-01-04 01:00:00
73,61.3,2015-01-04 02:00:00
74,53.4,2015-01-04 03:00:00
75,65.4,2015-01-04 04:00:00
76,81.2,2015-01-04 05:00:00
77,81.0,2015-01-04 06:00:00
78,66.2,2015-01-04 07:00:00
79,63.4,2015-01-04 08:00:00
80,87.3,2015-01-04 09:00:00
81,50.1,2015-01-04 10:00:00
82,74.1,2015-01-04 11:00:00
83,79.8,2015-01-04 12:00:00
84,92.9,2015-01-04 13:00:00
85,48.1,2015-01-04 14:00:00
86,100.2,2015-01-04 15:00:00
87,89.5,2015-01-04 16:00:00
88,94.8,2015-01-04 17:00:00
89,76.2,2015-01-04 18:00:00
90,103.0,2015-01-04 19:00:00
91,114.9,2015-01-04 20:00:00
92,87.4,2015-01-04 21:00:00
93,69.1,2015-01-04 22:00:00
94,50.3,2015-01-04 23:00:00
95,63.5,2015-01-05 00:00:00
96,37.8,2015-01-05 01:00:00
97,26.3,2015-01-05 02:00:00
98,56.1,2015-01-05 03:00:00
99,47.8,2015-01-05 04:00:00
