,CO,Date
33,,2015-01-08 10:00:00
34,,2015-01-08 11:00:00
35,,2015-01-08 12:00:00
36,,2015-01-08 13:00:00
37,2.4,2015-01-08 14:00:00
38,2.1,2015-01-08 15:00:00
39,1.4,2015-01-08 16:00:00
40,1.5,2015-01-08 17:00:00
41,,2015-01-08 18:00:00
42,,2015-01-08 19:00:00
43,,2015-01-08 20:00:00
44,,2015-01-08 21:00:00
45,,2015-01-08 22:00:00
46,,2015-01-08 23:00:00
47,,2015-01-09 00:00:00
48,,2015-01-09 01:00:00
49,,2015-01-09 02:00:00
50,,2015-01-09 03:00:00
51,,2015-01-09 04:00:00
52,,2015-01-09 05:00:00
53,,2015-01-09 06:00:00
54,,2015-01-09 07:00:00
55,,2015-01-09 08:00:00
56,,2015-01-09 09:00:00
57,1.5,2015-01-09 10:00:00
58,3.2,2015-01-09 11:00:00
59,1.9,2015-01-09 12:00:00
60,2.1,2015-01-09 13:00:00
61,2.0,2015-01-09 14:00:00
62,2.2,2015-01-09 15:00:00
63,1.8,2015-01-09 16:00:00
64,2.1,2015-01-09 17:00:00
65,2.1,2015-01-09 18:00:00
66,2.5,2015-01-09 19:00:00
67,2.4,2015-01-09 20:00:00
68,1.9,2015-01-09 21:00:00
69,1.6,2015-01-09 22:00:00
70,1.5,2015-01-09 23:00:00
71,1.2,2015-01-10 00:00:00
72,1.4,2015-01-10 01:00:00
73,1.6,2015-01-10 02:00:00
74,1.5,2015-01-10 03:00:00
75,1.4,2015-01-10 04:00:00
76,1.5,2015-01-10 05:00:00
77,3.7,2015-01-10 06:00:00
78,1.1,2015-01-10 07:00:00
79,1.6,2015-01-10 08:00:00
80,2.2,2015-01-10 09:00:00
81,2.0,2015-01-10 10:00:00
82,2.3,2015-01-10 11:00:00
83,1.8,2015-01-10 12:00:00
84,1.8,2015-01-10 13:00:00
85,1.4,2015-01-10 14:00:00
86,1.2,2015-01-10 15:00:00
87,1.2,2015-01-10 16:00:00
88,1.9,2015-01-10 17:00:00
89,1.5,2015-01-10 18:00:00
90,3.1,2015-01-10 19:00:00
