,NO1,Date
42,,2015-01-08 19:00:00
43,,2015-01-08 20:00:00
44,,2015-01-08 21:00:00
45,,2015-01-08 22:00:00
46,,2015-01-08 23:00:00
47,,2015-01-09 00:00:00
48,,2015-01-09 01:00:00
49,,2015-01-09 02:00:00
50,,2015-01-09 03:00:00
51,,2015-01-09 04:00:00
52,,2015-01-09 05:00:00
53,,2015-01-09 06:00:00
54,,2015-01-09 07:00:00
55,,2015-01-09 08:00:00
56,,2015-01-09 09:00:00
57,,2015-01-09 10:00:00
58,,2015-01-09 11:00:00
59,,2015-01-09 12:00:00
60,,2015-01-09 13:00:00
61,,2015-01-09 14:00:00
62,44.2,2015-01-09 15:00:00
63,,2015-01-09 16:00:00
64,47.1,2015-01-09 17:00:00
65,41.6,2015-01-09 18:00:00
66,,2015-01-09 19:00:00
67,,2015-01-09 20:00:00
68,22.3,2015-01-09 21:00:00
69,2.1,2015-01-09 22:00:00
70,4.8,2015-01-09 23:00:00
71,4.0,2015-01-10 00:00:00
72,16.3,2015-01-10 01:00:00
73,15.0,2015-01-10 02:00:00
74,2.4,2015-01-10 03:00:00
75,22.1,2015-01-10 04:00:00
76,43.3,2015-01-10 05:00:00
77,98.3,2015-01-10 06:00:00
78,46.4,2015-01-10 07:00:00
79,,2015-01-10 08:00:00
80,,2015-01-10 09:00:00
81,31.6,2015-01-10 10:00:00
82,29.9,2015-01-10 11:00:00
83,12.0,2015-01-10 12:00:00
84,,2015-01-10 13:00:00
85,,2015-01-10 14:00:00
86,,2015-01-10 15:00:00
87,65.5,2015-01-10 16:00:00
88,58.3,2015-01-10 17:00:00
89,159.8,2015-01-10 18:00:00
90,,2015-01-10 19:00:00
91,17.0,2015-01-10 20:00:00
92,,2015-01-10 21:00:00
93,,2015-01-10 22:00:00
94,,2015-01-10 23:00:00
95,,2015-01-11 00:00:00
96,,2015-01-11 01:00:00
97,,2015-01-11 02:00:00
98,,2015-01-11 03:00:00
99,,2015-01-11 04:00:00
100,,2015-01-11 05:00:00
101,,2015-01-11 06:00:00
102,,2015-01-11 07:00:00
103,,2015-01-11 08:00:00
104,,2015-01-11 09:00:00
105,,2015-01-11 10:00:00
106,,2015-01-11 11:00:00
107,,2015-01-11 12:00:00
108,,2015-01-11 13:00:00
109,,2015-01-11 14:00:00
110,,2015-01-11 15:00:00
111,,2015-01-11 16:00:00
112,,2015-01-11 17:00:00
113,,2015-01-11 18:00:00
114,,2015-01-11 19:00:00
115,,2015-01-11 20:00:00
116,,2015-01-11 21:00:00
117,,2015-01-11 22:00:00
118,,2015-01-11 23:00:00
119,,2015-01-12 00:00:00
120,,2015-01-12 01:00:00
121,,2015-01-12 02:00:00
122,,2015-01-12 03:00:00
123,,2015-01-12 04:00:00
124,,2015-01-12 05:00:00
125,,2015-01-12 06:00:00
126,,2015-01-12 07:00:00
127,,2015-01-12 08:00:00
128,,2015-01-12 09:00:00
129,,2015-01-12 10:00:00
130,,2015-01-12 11:00:00
131,,2015-01-12 12:00:00
132,7.6,2015-01-12 13:00:00
133,7.6,2015-01-12 14:00:00
134,4.2,2015-01-12 15:00:00
135,4.2,2015-01-12 16:00:00
136,10.5,2015-01-12 17:00:00
137,,2015-01-12 18:00:00
138,4.8,2015-01-12 19:00:00
139,13.3,2015-01-12 20:00:00
140,,2015-01-12 21:00:00
141,,2015-01-12 22:00:00
142,,2015-01-12 23:00:00
143,,2015-01-13 00:00:00
0,,2015-01-13 01:00:00
1,,2015-01-13 02:00:00
2,,2015-01-13 03:00:00
3,,2015-01-13 04:00:00
4,,2015-01-13 05:00:00
5,,2015-01-13 06:00:00
6,,2015-01-13 07:00:00
7,,2015-01-13 08:00:00
8,,2015-01-13 09:00:00
9,,2015-01-13 10:00:00
10,,2015-01-13 11:00:00
11,,2015-01-13 12:00:00
12,,2015-01-13 13:00:00
13,,2015-01-13 14:00:00
14,,2015-01-13 15:00:00
15,,2015-01-13 16:00:00
16,,2015-01-13 17:00:00
17,,2015-01-13 18:00:00
18,,2015-01-13 19:00:00
19,,2015-01-13 20:00:00
20,,2015-01-13 21:00:00
21,,2015-01-13 22:00:00
22,,2015-01-13 23:00:00
23,,2015-01-14 00:00:00
24,,2015-01-14 01:00:00
25,,2015-01-14 02:00:00
26,,2015-01-14 03:00:00
27,,2015-01-14 04:00:00
28,,2015-01-14 05:00:00
29,,2015-01-14 06:00:00
30,,2015-01-14 07:00:00
31,,2015-01-14 08:00:00
32,,2015-01-14 09:00:00
33,3.8,2015-01-14 10:00:00
34,1.2,2015-01-14 11:00:00
35,4.3,2015-01-14 12:00:00
36,6.6,2015-01-14 13:00:00
37,,2015-01-14 14:00:00
38,3.2,2015-01-14 15:00:00
39,11.6,2015-01-14 16:00:00
40,23.9,2015-01-14 17:00:00
