,NO2,Date
0,228.4,2015-01-01 01:00:00
1,181.0,2015-01-01 02:00:00
2,151.4,2015-01-01 03:00:00
3,153.8,2015-01-01 04:00:00
4,120.0,2015-01-01 05:00:00
5,127.3,2015-01-01 06:00:00
6,108.5,2015-01-01 07:00:00
7,150.8,2015-01-01 08:00:00
8,212.6,2015-01-01 09:00:00
9,184.4,2015-01-01 10:00:00
10,175.8,2015-01-01 11:00:00
11,233.7,2015-01-01 12:00:00
12,252.6,2015-01-01 13:00:00
13,210.9,2015-01-01 14:00:00
14,138.4,2015-01-01 15:00:00
15,95.7,2015-01-01 16:00:00
16,102.5,2015-01-01 17:00:00
17,136.2,2015-01-01 18:00:00
18,223.9,2015-01-01 19:00:00
19,195.5,2015-01-01 20:00:00
20,156.7,2015-01-01 21:00:00
21,224.1,2015-01-01 22:00:00
22,229.0,2015-01-01 23:00:00
23,460.1,2015-01-02 00:00:00
24,452.9,2015-01-02 01:00:00
25,393.3,2015-01-02 02:00:00
26,342.0,2015-01-02 03:00:00
27,378.1,2015-01-02 04:00:00
28,364.6,2015-01-02 05:00:00
29,265.2,2015-01-02 06:00:00
30,197.8,2015-01-02 07:00:00
31,128.8,2015-01-02 08:00:00
32,109.1,2015-01-02 09:00:00
33,102.1,2015-01-02 10:00:00
34,113.6,2015-01-02 11:00:00
35,69.6,2015-01-02 12:00:00
36,87.1,2015-01-02 13:00:00
37,90.8,2015-01-02 14:00:00
38,93.5,2015-01-02 15:00:00
39,74.1,2015-01-02 16:00:00
40,,2015-01-02 17:00:00
41,73.3,2015-01-02 18:00:00
42,70.2,2015-01-02 19:00:00
43,78.1,2015-01-02 20:00:00
44,,2015-01-02 21:00:00
45,90.8,2015-01-02 22:00:00
46,96.3,2015-01-02 23:00:00
47,,2015-01-03 00:00:00
48,,2015-01-03 01:00:00
49,,2015-01-03 02:00:00
50,,2015-01-03 03:00:00
51,,2015-01-03 04:00:00
52,,2015-01-03 05:00:00
53,,2015-01-03 06:00:00
54,,2015-01-03 07:00:00
55,,2015-01-03 08:00:00
56,51.4,2015-01-03 09:00:00
57,63.7,2015-01-03 10:00:00
58,63.3,2015-01-03 11:00:00
59,,2015-01-03 12:00:00
60,70.7,2015-01-03 13:00:00
61,,2015-01-03 14:00:00
62,,2015-01-03 15:00:00
63,,2015-01-03 16:00:00
64,84.6,2015-01-03 17:00:00
65,87.5,2015-01-03 18:00:00
66,60.0,2015-01-03 19:00:00
67,53.2,2015-01-03 20:00:00
68,82.0,2015-01-03 21:00:00
69,89.6,2015-01-03 22:00:00
70,111.5,2015-01-03 23:00:00
71,104.5,2015-01-04 00:00:00
72,101.7,2015-01-04 01:00:00
73,101.3,2015-01-04 02:00:00
74,79.1,2015-01-04 03:00:00
75,56.7,2015-01-04 04:00:00
76,50.5,2015-01-04 05:00:00
77,49.1,2015-01-04 06:00:00
78,54.6,2015-01-04 07:00:00
79,,2015-01-04 08:00:00
80,36.6,2015-01-04 09:00:00
81,40.1,2015-01-04 10:00:00
82,,2015-01-04 11:00:00
83,,2015-01-04 12:00:00
84,,2015-01-04 13:00:00
85,,2015-01-04 14:00:00
86,,2015-01-04 15:00:00
87,39.8,2015-01-04 16:00:00
88,41.7,2015-01-04 17:00:00
89,74.1,2015-01-04 18:00:00
90,79.7,2015-01-04 19:00:00
91,76.6,2015-01-04 20:00:00
92,72.1,2015-01-04 21:00:00
93,61.0,2015-01-04 22:00:00
94,51.1,2015-01-04 23:00:00
95,39.2,2015-01-05 00:00:00
96,36.2,2015-01-05 01:00:00
97,29.4,2015-01-05 02:00:00
98,28.1,2015-01-05 03:00:00
99,26.9,2015-01-05 04:00:00
100,28.6,2015-01-05 05:00:00
101,30.0,2015-01-05 06:00:00
102,39.8,2015-01-05 07:00:00
103,51.8,2015-01-05 08:00:00
104,48.7,2015-01-05 09:00:00
105,54.2,2015-01-05 10:00:00
106,,2015-01-05 11:00:00
107,,2015-01-05 12:00:00
108,,2015-01-05 13:00:00
109,,2015-01-05 14:00:00
110,,2015-01-05 15:00:00
111,23.8,2015-01-05 16:00:00
112,35.7,2015-01-05 17:00:00
113,54.0,2015-01-05 18:00:00
