,NO2,Date
31,49.3,2015-01-08 08:00:00
32,55.9,2015-01-08 09:00:00
33,57.3,2015-01-08 10:00:00
34,62.7,2015-01-08 11:00:00
35,67.3,2015-01-08 12:00:00
36,72.3,2015-01-08 13:00:00
37,78.4,2015-01-08 14:00:00
38,76.6,2015-01-08 15:00:00
39,58.4,2015-01-08 16:00:00
40,58.8,2015-01-08 17:00:00
41,64.8,2015-01-08 18:00:00
42,76.7,2015-01-08 19:00:00
43,82.4,2015-01-08 20:00:00
44,76.0,2015-01-08 21:00:00
45,75.5,2015-01-08 22:00:00
46,74.3,2015-01-08 23:00:00
47,73.9,2015-01-09 00:00:00
48,76.0,2015-01-09 01:00:00
49,72.9,2015-01-09 02:00:00
50,64.7,2015-01-09 03:00:00
51,46.7,2015-01-09 04:00:00
52,41.8,2015-01-09 05:00:00
53,43.8,2015-01-09 06:00:00
54,45.2,2015-01-09 07:00:00
55,47.6,2015-01-09 08:00:00
56,50.6,2015-01-09 09:00:00
57,55.4,2015-01-09 10:00:00
58,61.6,2015-01-09 11:00:00
59,70.2,2015-01-09 12:00:00
60,65.6,2015-01-09 13:00:00
61,68.3,2015-01-09 14:00:00
62,99.5,2015-01-09 15:00:00
63,86.5,2015-01-09 16:00:00
64,119.1,2015-01-09 17:00:00
65,103.2,2015-01-09 18:00:00
66,89.2,2015-01-09 19:00:00
67,88.5,2015-01-09 20:00:00
68,88.5,2015-01-09 21:00:00
69,83.9,2015-01-09 22:00:00
70,83.6,2015-01-09 23:00:00
71,83.6,2015-01-10 00:00:00
72,76.0,2015-01-10 01:00:00
73,60.8,2015-01-10 02:00:00
74,60.6,2015-01-10 03:00:00
75,63.2,2015-01-10 04:00:00
76,55.3,2015-01-10 05:00:00
77,48.1,2015-01-10 06:00:00
78,41.3,2015-01-10 07:00:00
79,47.0,2015-01-10 08:00:00
80,44.6,2015-01-10 09:00:00
81,39.2,2015-01-10 10:00:00
82,34.0,2015-01-10 11:00:00
83,33.3,2015-01-10 12:00:00
84,32.1,2015-01-10 13:00:00
85,29.9,2015-01-10 14:00:00
86,36.6,2015-01-10 15:00:00
87,,2015-01-10 16:00:00
88,62.1,2015-01-10 17:00:00
89,91.2,2015-01-10 18:00:00
90,101.1,2015-01-10 19:00:00
91,105.2,2015-01-10 20:00:00
92,92.8,2015-01-10 21:00:00
93,80.8,2015-01-10 22:00:00
94,53.8,2015-01-10 23:00:00
95,40.8,2015-01-11 00:00:00
96,39.0,2015-01-11 01:00:00
97,38.6,2015-01-11 02:00:00
98,32.2,2015-01-11 03:00:00
99,28.7,2015-01-11 04:00:00
100,48.1,2015-01-11 05:00:00
101,40.1,2015-01-11 06:00:00
102,48.7,2015-01-11 07:00:00
103,55.0,2015-01-11 08:00:00
104,88.3,2015-01-11 09:00:00
105,48.2,2015-01-11 10:00:00
106,41.5,2015-01-11 11:00:00
107,39.0,2015-01-11 12:00:00
108,35.0,2015-01-11 13:00:00
109,37.4,2015-01-11 14:00:00
110,39.8,2015-01-11 15:00:00
111,46.6,2015-01-11 16:00:00
112,59.1,2015-01-11 17:00:00
113,97.8,2015-01-11 18:00:00
114,91.9,2015-01-11 19:00:00
115,82.0,2015-01-11 20:00:00
116,54.2,2015-01-11 21:00:00
117,59.9,2015-01-11 22:00:00
118,62.4,2015-01-11 23:00:00
119,61.4,2015-01-12 00:00:00
120,59.1,2015-01-12 01:00:00
121,50.1,2015-01-12 02:00:00
122,41.2,2015-01-12 03:00:00
123,33.3,2015-01-12 04:00:00
124,26.2,2015-01-12 05:00:00
125,29.6,2015-01-12 06:00:00
126,37.8,2015-01-12 07:00:00
127,67.4,2015-01-12 08:00:00
128,86.6,2015-01-12 09:00:00
129,78.5,2015-01-12 10:00:00
130,66.0,2015-01-12 11:00:00
131,71.2,2015-01-12 12:00:00
132,76.6,2015-01-12 13:00:00
133,83.2,2015-01-12 14:00:00
134,86.8,2015-01-12 15:00:00
135,109.3,2015-01-12 16:00:00
136,117.8,2015-01-12 17:00:00
137,118.6,2015-01-12 18:00:00
138,106.5,2015-01-12 19:00:00
139,71.9,2015-01-12 20:00:00
140,59.4,2015-01-12 21:00:00
141,56.9,2015-01-12 22:00:00
142,47.4,2015-01-12 23:00:00
143,42.8,2015-01-13 00:00:00
0,41.0,2015-01-13 01:00:00
1,46.7,2015-01-13 02:00:00
2,43.2,2015-01-13 03:00:00
3,40.8,2015-01-13 04:00:00
4,30.6,2015-01-13 05:00:00
5,26.7,2015-01-13 06:00:00
6,25.2,2015-01-13 07:00:00
7,39.1,2015-01-13 08:00:00
8,51.5,2015-01-13 09:00:00
9,72.5,2015-01-13 10:00:00
10,149.5,2015-01-13 11:00:00
